Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Rndrng_Prvdrs,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
National,,National,0001A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, diluent reconstituted; first dose",N,O,297,707,712.0,712,53.14877809,39.570042135,39.570042135,40.118651685
National,,National,0001F,Heart failure composite,N,O,8,32,66.0,66,0.4972727273,0.49,0.38,0.38
National,,National,0001U,Red blood cell typing,N,O,8,85,85.0,85,1156.0545882,612.41435294,612.41435294,681.90705882
National,,National,0002A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, diluent reconstituted; second dose",N,O,205,376,381.0,381,54.25,38.754015748,38.754015748,39.196456693
National,,National,0003A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, diluent reconstituted; third dose",N,O,170,943,946.0,946,80.121638478,40.764238901,40.764238901,40.393530655
National,,National,0003M,"Molecular pathology test for liver disease, including non-alcohol liver disease (nash fibrosure)",N,O,12,147,155.0,155,797.96670968,484.68103226,472.41948387,479.60877419
National,,National,0004A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, diluent reconstituted; booster dose",N,O,404,1946,1963.0,1963,65.91895568,42.11050433,42.11050433,40.669276617
National,,National,0005U,Test for detecting genes associated with prostate cancer in urine,N,O,4,11928,12020.0,12020,994.99797005,744.28288602,744.28288602,744.8
National,,National,00100,Anesthesia for procedure on saliva gland,N,F,7872,6578,9737.0,9732,2201.6583558,222.18071788,174.7637188,173.15238061
National,,National,00100,Anesthesia for procedure on saliva gland,N,O,92,68,114.0,114,1500.8530702,182.84324561,144.37736842,137.47096491
National,,National,00102,Anesthesia for plastic repair of lip defect,N,F,36,29,37.0,37,2329.5372973,204.49648649,161.68459459,160.01567568
National,,National,00103,Anesthesia for procedure on eyelid,N,F,18576,82571,106153.0,106053,1265.4700056,144.20476887,112.87745443,112.46987405
National,,National,00103,Anesthesia for procedure on eyelid,N,O,1085,2159,3546.0,3546,1233.289639,120.37317259,92.889805415,91.567366046
National,,National,00104,Anesthesia for electroshock therapy,N,F,10764,6762,113600.0,113585,821.28445977,82.43391963,64.876381866,63.821905898
National,,National,00104,Anesthesia for electroshock therapy,N,O,167,125,2391.0,2391,645.24498118,69.344374739,54.925144291,53.672015893
National,,National,0011A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 100 mcg/0.5ml dosage; first dose",N,O,800,1526,1540.0,1540,64.474967532,39.943311688,39.943311688,40.614623377
National,,National,00120,Anesthesia for other procedure on external middle and inner ear,N,F,11226,13282,20266.0,20260,1958.9448949,193.53555166,152.17652818,151.21057091
National,,National,00120,Anesthesia for other procedure on external middle and inner ear,N,O,453,680,1035.0,1035,1571.0449952,179.12380676,138.85550725,137.63529469
National,,National,00124,Anesthesia for exam of ear using an endoscope,N,F,714,533,750.0,750,923.39742667,95.274946667,71.1908,71.766786667
National,,National,00124,Anesthesia for exam of ear using an endoscope,N,O,21,14,21.0,21,1208.3285714,96.67047619,64.878571429,64.655714286
National,,National,00126,Anesthesia for incision of ear drum,N,F,5502,5710,8091.0,8089,914.71686936,90.489761463,70.852222222,71.036633296
National,,National,00126,Anesthesia for incision of ear drum,N,O,156,152,202.0,202,1020.5956436,94.67049505,74.308465347,74.745643564
National,,National,0012A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 100 mcg/0.5ml dosage; second dose",N,O,734,1256,1263.0,1263,64.891781473,39.744220111,39.744220111,40.496745843
National,,National,0012M,Molecular pathology test for genetic analysis of bladder tumor (cxbladder detect),N,O,1,5823,6158.0,6158,2995.0,744.56282072,744.56282072,744.8
National,,National,0013A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 100 mcg/0.5ml dosage; third dose",N,O,547,1528,1538.0,1538,72.137977893,40.851807542,40.851807542,40.58420026
National,,National,0013M,Molecular pathology test for genetic analysis of recurrent bladder tumor (cxbladder monitor),N,O,1,2314,2604.0,2604,2995.0,744.34371736,744.34371736,744.8
National,,National,00140,Anesthesia for other procedure on eye,N,F,24151,106271,169596.0,169541,1155.9155701,128.60561629,100.95934662,99.547862803
National,,National,00140,Anesthesia for other procedure on eye,N,O,1490,3801,7750.0,7750,1056.5059535,103.53514323,80.966029677,79.174233548
National,,National,00142,Anesthesia for lens surgery,N,F,39292,877698,1723041.0,1722727,869.27962024,98.161236453,77.193335254,76.738469659
National,,National,00142,Anesthesia for lens surgery,N,O,2833,21986,52843.0,52839,776.77281267,78.650155366,61.509757962,60.895408285
National,,National,00144,Anesthesia for procedure on eye for corneal transplant,N,F,6824,12977,20001.0,19990,1492.1283416,159.09577971,124.44117744,123.00572821
National,,National,00144,Anesthesia for procedure on eye for corneal transplant,N,O,468,647,1282.0,1282,1400.0841576,132.0926209,102.66395476,100.01348674
National,,National,00145,Anesthesia for retinal surgery,N,F,19282,74796,115114.0,115086,1508.8646973,159.37208437,125.41102829,124.51466086
National,,National,00145,Anesthesia for retinal surgery,N,O,839,2180,3907.0,3905,1292.9053852,139.1913335,108.93908114,106.79723061
National,,National,00147,Anesthesia for procedure on eye for removal of iris,N,F,354,577,751.0,751,1267.4909188,125.68896138,99.104207723,95.373515313
National,,National,00148,Anesthesia for exam of inner eye using an endoscope,N,F,205,195,282.0,282,822.06638298,102.75397163,77.270212766,76.274964539
National,,National,00148,Anesthesia for exam of inner eye using an endoscope,N,O,17,13,25.0,25,752.0888,80.3408,58.3932,58.32
National,,National,0014M,Molecular pathology test for risk of serious liver disease within 5 years (enhanced liver fibrosis (elf) test),N,O,44,2198,2306.0,2306,453.75734605,172.1596791,172.1596791,172.67
National,,National,0015M,"Molecular pathology test for genetic analysis of kidney gland tumor (adrenal mass panel, 24 hour, urine)",N,O,3,11,11.0,11,1610.0818182,1223.4145455,1223.4145455,1279.26
National,,National,00160,Anesthesia for other procedure on nose and sinuses,N,F,27375,41881,60252.0,60211,1677.6516716,166.3481911,130.78136161,130.43611698
National,,National,00160,Anesthesia for other procedure on nose and sinuses,N,O,1119,2748,3441.0,3436,1518.6227027,158.1993374,123.94043011,124.20896832
